"Notes"	"Year"	"Year Code"	"Multiple Cause of death"	"Multiple Cause of death Code"	Deaths	Population	Crude Rate
	"1999"	"1999"	"Colon, unspecified - Malignant neoplasms"	"C18.9"	81	552424	14.7
	"1999"	"1999"	"Bronchus or lung, unspecified - Malignant neoplasms"	"C34.9"	282	552424	51.0
	"1999"	"1999"	"Bronchopneumonia, unspecified"	"J18.0"	13	552424	Unreliable
	"1999"	"1999"	"Lobar pneumonia, unspecified"	"J18.1"	11	552424	Unreliable
	"1999"	"1999"	"Hypostatic pneumonia, unspecified"	"J18.2"	18	552424	Unreliable
	"1999"	"1999"	"Pneumonia, unspecified"	"J18.9"	480	552424	86.9
	"1999"	"1999"	"Other specified chronic obstructive pulmonary disease"	"J44.8"	19	552424	Unreliable
	"1999"	"1999"	"Chronic obstructive pulmonary disease, unspecified"	"J44.9"	447	552424	80.9
	"1999"	"1999"	"Asthma, unspecified"	"J45.9"	23	552424	4.2
"Total"	"1999"	"1999"			1406	552424	254.5
	"2000"	"2000"	"Colon, unspecified - Malignant neoplasms"	"C18.9"	80	563598	14.2
	"2000"	"2000"	"Bronchus or lung, unspecified - Malignant neoplasms"	"C34.9"	285	563598	50.6
	"2000"	"2000"	"Hypostatic pneumonia, unspecified"	"J18.2"	17	563598	Unreliable
	"2000"	"2000"	"Pneumonia, unspecified"	"J18.9"	455	563598	80.7
	"2000"	"2000"	"Other specified chronic obstructive pulmonary disease"	"J44.8"	16	563598	Unreliable
	"2000"	"2000"	"Chronic obstructive pulmonary disease, unspecified"	"J44.9"	446	563598	79.1
	"2000"	"2000"	"Asthma, unspecified"	"J45.9"	20	563598	3.5
"Total"	"2000"	"2000"			1348	563598	239.2
	"2001"	"2001"	"Colon, unspecified - Malignant neoplasms"	"C18.9"	81	591207	13.7
	"2001"	"2001"	"Bronchus or lung, unspecified - Malignant neoplasms"	"C34.9"	304	591207	51.4
	"2001"	"2001"	"Bronchopneumonia, unspecified"	"J18.0"	14	591207	Unreliable
	"2001"	"2001"	"Pneumonia, unspecified"	"J18.9"	446	591207	75.4
	"2001"	"2001"	"Other specified chronic obstructive pulmonary disease"	"J44.8"	16	591207	Unreliable
	"2001"	"2001"	"Chronic obstructive pulmonary disease, unspecified"	"J44.9"	490	591207	82.9
	"2001"	"2001"	"Asthma, unspecified"	"J45.9"	12	591207	Unreliable
"Total"	"2001"	"2001"			1396	591207	236.1
	"2002"	"2002"	"Colon, unspecified - Malignant neoplasms"	"C18.9"	80	609041	13.1
	"2002"	"2002"	"Bronchus or lung, unspecified - Malignant neoplasms"	"C34.9"	334	609041	54.8
	"2002"	"2002"	"Bronchopneumonia, unspecified"	"J18.0"	12	609041	Unreliable
	"2002"	"2002"	"Hypostatic pneumonia, unspecified"	"J18.2"	19	609041	Unreliable
	"2002"	"2002"	"Pneumonia, unspecified"	"J18.9"	453	609041	74.4
	"2002"	"2002"	"Other specified chronic obstructive pulmonary disease"	"J44.8"	16	609041	Unreliable
	"2002"	"2002"	"Chronic obstructive pulmonary disease, unspecified"	"J44.9"	497	609041	81.6
	"2002"	"2002"	"Asthma, unspecified"	"J45.9"	25	609041	4.1
"Total"	"2002"	"2002"			1452	609041	238.4
	"2003"	"2003"	"Colon, unspecified - Malignant neoplasms"	"C18.9"	68	626778	10.8
	"2003"	"2003"	"Bronchus or lung, unspecified - Malignant neoplasms"	"C34.9"	291	626778	46.4
	"2003"	"2003"	"Bronchopneumonia, unspecified"	"J18.0"	16	626778	Unreliable
	"2003"	"2003"	"Hypostatic pneumonia, unspecified"	"J18.2"	14	626778	Unreliable
	"2003"	"2003"	"Pneumonia, unspecified"	"J18.9"	484	626778	77.2
	"2003"	"2003"	"Other specified chronic obstructive pulmonary disease"	"J44.8"	15	626778	Unreliable
	"2003"	"2003"	"Chronic obstructive pulmonary disease, unspecified"	"J44.9"	511	626778	81.5
	"2003"	"2003"	"Asthma, unspecified"	"J45.9"	17	626778	Unreliable
"Total"	"2003"	"2003"			1432	626778	228.5
	"2004"	"2004"	"Colon, unspecified - Malignant neoplasms"	"C18.9"	68	642898	10.6
	"2004"	"2004"	"Bronchus or lung, unspecified - Malignant neoplasms"	"C34.9"	298	642898	46.4
	"2004"	"2004"	"Bronchopneumonia, unspecified"	"J18.0"	15	642898	Unreliable
	"2004"	"2004"	"Hypostatic pneumonia, unspecified"	"J18.2"	16	642898	Unreliable
	"2004"	"2004"	"Pneumonia, unspecified"	"J18.9"	393	642898	61.1
	"2004"	"2004"	"Other specified chronic obstructive pulmonary disease"	"J44.8"	13	642898	Unreliable
	"2004"	"2004"	"Chronic obstructive pulmonary disease, unspecified"	"J44.9"	480	642898	74.7
	"2004"	"2004"	"Asthma, unspecified"	"J45.9"	13	642898	Unreliable
"Total"	"2004"	"2004"			1319	642898	205.2
	"2005"	"2005"	"Colon, unspecified - Malignant neoplasms"	"C18.9"	78	656985	11.9
	"2005"	"2005"	"Bronchus or lung, unspecified - Malignant neoplasms"	"C34.9"	286	656985	43.5
	"2005"	"2005"	"Bronchopneumonia, unspecified"	"J18.0"	18	656985	Unreliable
	"2005"	"2005"	"Pneumonia, unspecified"	"J18.9"	457	656985	69.6
	"2005"	"2005"	"Other specified chronic obstructive pulmonary disease"	"J44.8"	18	656985	Unreliable
	"2005"	"2005"	"Chronic obstructive pulmonary disease, unspecified"	"J44.9"	557	656985	84.8
	"2005"	"2005"	"Asthma, unspecified"	"J45.9"	26	656985	4.0
"Total"	"2005"	"2005"			1469	656985	223.6
	"2006"	"2006"	"Colon, unspecified - Malignant neoplasms"	"C18.9"	91	662812	13.7
	"2006"	"2006"	"Bronchus or lung, unspecified - Malignant neoplasms"	"C34.9"	273	662812	41.2
	"2006"	"2006"	"Bronchopneumonia, unspecified"	"J18.0"	13	662812	Unreliable
	"2006"	"2006"	"Pneumonia, unspecified"	"J18.9"	379	662812	57.2
	"2006"	"2006"	"Other specified chronic obstructive pulmonary disease"	"J44.8"	13	662812	Unreliable
	"2006"	"2006"	"Chronic obstructive pulmonary disease, unspecified"	"J44.9"	429	662812	64.7
	"2006"	"2006"	"Asthma, unspecified"	"J45.9"	25	662812	3.8
"Total"	"2006"	"2006"			1242	662812	187.4
	"2007"	"2007"	"Colon, unspecified - Malignant neoplasms"	"C18.9"	82	668080	12.3
	"2007"	"2007"	"Bronchus or lung, unspecified - Malignant neoplasms"	"C34.9"	307	668080	46.0
	"2007"	"2007"	"Bronchopneumonia, unspecified"	"J18.0"	17	668080	Unreliable
