_id,patcnty1,dsch_yr,mdc,mdc_desc,Discharges,AnnotationCode,AnnotationDesc
1,Alameda,2012,1,"NERVOUS SYSTEM, DISEASES & DISORDERS",7792,,
2,Alameda,2012,2,"EYE, DISEASES & DISORDERS",195,,
3,Alameda,2012,3,"EAR, NOSE, MOUTH, & THROAT, DISEASES & DISORDERS",1413,,
4,Alameda,2012,4,"RESPIRATORY SYSTEM, DISEASES & DISORDERS",11569,,
5,Alameda,2012,5,"CIRCULATORY SYSTEM, DISEASES & DISORDERS",15745,,
6,Alameda,2012,6,"DIGESTIVE SYSTEM, DISEASES & DISORDERS",11962,,
7,Alameda,2012,7,"HEPATOBILIARY SYSTEM & PANCREAS, DISEASES & DISORDERS",4184,,
8,Alameda,2012,8,"MUSCULOSKELETAL SYSTEM & CONNECTIVE TISSUE, DISEASES & DISORDERS",11313,,
9,Alameda,2012,9,"SKIN, SUBCUTANEOUS TISSUE & BREAST, DISEASES & DISORDERS",3524,,
10,Alameda,2012,10,"ENDOCRINE, NUTRITIONAL, AND METABOLIC, DISEASES & DISORDERS",4094,,
11,Alameda,2012,11,"KIDNEY AND URINARY TRACT, DISEASES & DISORDERS",5545,,
12,Alameda,2012,12,"MALE REPRODUCTIVE SYSTEM, DISEASES & DISORDERS",543,,
13,Alameda,2012,13,"FEMALE REPRODUCTIVE SYSTEM, DISEASES & DISORDERS",2051,,
14,Alameda,2012,14,"PREGNANCY, CHILDBIRTH, & THE PUERPERIUM",20868,,
15,Alameda,2012,15,NEWBORNS AND NEONATE CONDITIONS BEGAN IN PERINATAL PERIOD,20290,,
16,Alameda,2012,16,"BLOOD, BLOOD FORMING ORGANS, IMMUNOLOGICAL, DISEASES & DISORDERS",1822,,
17,Alameda,2012,17,MYELOPROLIFERATIVE DISEASES & POORLY DIFFERENTIATED NEOPLASMS,1186,,
18,Alameda,2012,18,INFECTIOUS & PARASITIC DISEASES,7690,,
19,Alameda,2012,19,MENTAL DISEASES & DISORDERS,7034,,
20,Alameda,2012,20,ALCOHOL-DRUG USE AND ALCOHOL-DRUG INDUCED ORGANIC MENTAL DISEASES,1164,,
21,Alameda,2012,21,"INJURIES, POISONINGS, AND TOXIC EFFECTS OF DRUGS",2010,,
22,Alameda,2012,22,BURNS,102,,
23,Alameda,2012,23,FACTORS ON HEALTH STATUS & OTHER CONTACTS WITH HEALTH SERVICES,2766,,
24,Alameda,2012,24,MULTIPLE SIGNFICANT TRAUMA,317,,
25,Alameda,2012,25,HUMAN IMMUNODEFICIENCY VIRUS INFECTIONS,268,,
26,Alameda,2013,0,UNGROUPABLE,1,,
